name,make,model,city,year,fueltype,kilometerdriven,ownernumber,transmission,bodytype,storename,isc24assured,registrationcity,registrationstate,benefits,discountprice,price,url,createdDate
Maruti Swift,Maruti,Swift,Kochi,2010,Petrol,51365,1,Manual,Hatchback,Hi-Kochi South,FALSE,Ernakulam,Kerala,13898,-2600,338000,https://www.cars24.com/buy-used-maruti-swift-2010-cars-kochi-13099071775,10-11-2022
Maruti Vitara Brezza,Maruti,Vitara Brezza,Ludhiana,2016,Diesel,57725,1,Manual,SUV,Hi-Sector 40 D,FALSE,Chandigarh,Chandigarh,13898,47500,653000,https://www.cars24.com/buy-used-maruti-vitara-brezza-2016-cars-ludhiana-1161266262,22-05-2022
Honda Civic,Honda,Civic,Mumbai,2019,Petrol,6154,2,Automatic,Sedan,Hi-Andheri East,FALSE,Mumbai,Maharashtra,19407,-100,1493000,https://www.cars24.com/buy-used-honda-civic-2019-cars-mumbai-10331491789,18-07-2022
Tata Tiago,Tata,Tiago,New Delhi,2021,Petrol,27601,1,Manual,Hatchback,New Delhi-Pns,FALSE,Faridabad,Haryana,13898,15900,591599,https://www.cars24.com/buy-used-tata-tiago-2021-cars-new-delhi-10040079774,10-11-2022
Honda Brio,Honda,Brio,Gurgaon,2012,Petrol,63169,1,Manual,Hatchback,Hi-Raj Nagar Ghaziabad,FALSE,Ghaziabad,Uttar Pradesh,13898,-7400,285000,https://www.cars24.com/buy-used-honda-brio-2012-cars-gurgaon-11229673798,12-11-2022
Renault Kwid,Renault,Kwid,Jaipur,2020,Petrol,42570,2,Manual,Hatchback,Hi-Tonk Road,FALSE,Jaipur,Rajasthan,9688,-22100,372000,https://www.cars24.com/buy-used-renault-kwid-2020-cars-jaipur-10794376797,22-10-2022
Volkswagen Vento,Volkswagen,Vento,Nashik,2017,Petrol,66529,1,Automatic,Sedan,Hi-Andheri East,FALSE,Thane,Maharashtra,9688,-100,745000,https://www.cars24.com/buy-used-volkswagen-vento-2017-cars-nashik-10334196726,14-09-2022
Volkswagen Vento,Volkswagen,Vento,Mumbai,2017,Petrol,64915,1,Manual,Sedan,Hi-Thane West - Manpada,FALSE,Navi Mumbai,Maharashtra,19407,29500,571000,https://www.cars24.com/buy-used-volkswagen-vento-2017-cars-mumbai-10397299745,29-09-2022
Hyundai Elite i20,Hyundai,Elite I20,Chandigarh,2020,Petrol,24560,1,Manual,Hatchback,Hi-Sector 40 D,FALSE,Chandigarh,Chandigarh,13898,53200,707000,https://www.cars24.com/buy-used-hyundai-elite-i20-2020-cars-chandigarh-11680993735,03-09-2022
Ford Figo Aspire,Ford,Figo Aspire,Kochi,2019,Petrol,7751,1,Manual,Sedan,Kochi-Pns,FALSE,Nilambur,Kerala,13898,52300,571000,https://www.cars24.com/buy-used-ford-figo-aspire-2019-cars-kochi-1301158367,24-02-2022
